date,headline,print_headline,abstract,snippet,lead_paragraph
2000-01-11,AOL Chief Relaxes a Dress Code But Not His Vision of the Internet,MEDIA MEGADEAL: THE CHAMELEON; AOL Chief Relaxes a Dress Code But Not His Vision of the Internet,"Profile of America Online chairman and chief executive, Stephen M Case, who will head new AOL Time Warner; he has survived Internet's accelerated evolution with series of transformations; Time Warner head Gerald M Levin comments on Case's approach (M)","Profile of America Online chairman and chief executive, Stephen M Case, who will head new AOL Time Warner; he has survived Internet's accelerated evolution with series of transformations; Time Warner head Gerald M Levin comments on Case's approach...","Perhaps the only thing stranger than having America Online's chairman and chief executive, Stephen M. Case, announce plans yesterday to assume the helm of the world's largest media conglomerate was the fact that he wore a suit and tie to do it."
2000-01-12,The Jets Fill One Opening: New Owner at $635 Million,The Jets Fill One Opening: New Owner at $635 Million,"Robert Wood Johnson IV, whose great-grandfather founded Johnson & Johnson, wins right to buy New York Jets for $635 million, third-highest price for professional sports team and the most for one in New York; Johnson, whose sports connection has been confined to New York Knick games, outbids $612 million offered by Charles Dolan of Cablevision, which owns Madison Square Garden, Knicks and Rangers; Johnson says he looks forward to working with team's Steve Gutman and just-retired coach Bill Parcells (L)","Robert Wood Johnson IV, whose great-grandfather founded Johnson & Johnson, wins right to buy New York Jets for $635 million, third-highest price for professional sports team and the most for one in New York; Johnson, whose sports connection has be...","Robert Wood Johnson IV, whose great-grandfather founded Johnson & Johnson, won the right yesterday to buy the Jets for $635 million, the third-highest price for a professional sports team and the most for one in New York."
2000-01-13,"British, Under European Ruling, End Ban on Openly Gay Soldiers","British, Under European Ruling, End Ban on Openly Gay Soldiers","British government ends its ban on openly gay men and women serving in armed forces, following European court ruling that Britain could no longer keep the exclusion; this ends Britain's decades-old practice of subjecting gays in military to intrusive investigations and dishonorable discharges; change brings Britain into line with almost all other NATO nations, which allow openly gay men and lesbians to serve in their armed forces; United States, with its 'don't ask, don't tell' policy, is at variance with trend; Britain's about-face became inevitable after European Court of Human Rights unanimously ruled last September in favor of four former servicemen and servicewomen who were discharged in mid-1990's because of their homosexuality; photo (M)","British government ends its ban on openly gay men and women serving in armed forces, following European court ruling that Britain could no longer keep the exclusion; this ends Britain's decades-old practice of subjecting gays in military to intrus...",The government announced a code of conduct for the military today that ends its ban on openly gay men and women serving in the armed forces.
2000-01-14,Boy Who Killed Gets 7 Years; Judge Says Law Is Too Harsh,Boy Who Killed Gets 7 Years; Judge Says Law Is Too Harsh,"State judge rules that youngest American ever convicted of murder as an adult will serve seven-year sentence at maximum-security juvenile detention center and then be freed; Judge Eugene Arthur Moore of Pontiac, Mich, rejects prosecutors' request that boy, Nathaniel Abraham, who was convicted of killing when he was 11, be sentenced to serve additional time in adult prison unless he has clearly been rehabilitated by age 21; judge says juvenile laws have become weighted too heavily toward punishment instead of rehabilitation; he calls for changes in 3-year-old state law that makes it possible for children of any age to be tried as adults in Michigan; at least 44 states have adopted laws since 1992 that allow more children to be tried as adults; photo (M)","State judge rules that youngest American ever convicted of murder as an adult will serve seven-year sentence at maximum-security juvenile detention center and then be freed; Judge Eugene Arthur Moore of Pontiac, Mich, rejects prosecutors' request ...",A state judge ruled here today that the youngest American ever convicted of murder as an adult will serve a seven-year sentence at a maximum-security juvenile detention center and then be freed. The unexpectedly lenient sentence stunned prosecutors and disappointed lawmakers.
2000-01-15,JUSTICES TO RULE ON LAW THAT BANS ABORTION METHOD,JUSTICES TO RULE ON LAW THAT BANS ABORTION METHOD,"Supreme Court agrees to decide constitutionality of Nebraska law banning 'partial-birth' abortion; case is first on abortion added to docket in eight years, and election-year ruling this summer could have impact on fractious politics of abortion; broadly-written Nebraska law, lacking exception to protect mother's health, was struck down by lower court that also ruled against similar laws in Iowa and Arkansas (M)","Supreme Court agrees to decide constitutionality of Nebraska law banning 'partial-birth' abortion; case is first on abortion added to docket in eight years, and election-year ruling this summer could have impact on fractious politics of abortion; ...","Adding an abortion case to its docket for the first time in eight years, the Supreme Court agreed today to decide whether a Nebraska law banning a procedure that the state calls partial birth abortion is constitutional."
2000-01-16,DECISIVE ROLE SEEN FOR BLACK VOTERS IN LATER CONTESTS,THE 2000 CAMPAIGN; DECISIVE ROLE SEEN FOR BLACK VOTERS IN LATER CONTESTS,"Black voters, largely absent in Iowa and New Hampshire, may play decisive role when Presidential campaigning shifts to primaries in Southern states; Vice Pres Gore seems to enjoy commanding advantage over Bill Bradley for now, despite Bradley's passionate commitment to improving race relations; Gore is counting on that support in case he loses in New Hampshire; black voters will also be important in New York primary and, to lesser extent, in California; both Democrats have similar positions on issues of concern to blacks, and both use deeply personal anecdotes to connect with black voters (M)","Black voters, largely absent in Iowa and New Hampshire, may play decisive role when Presidential campaigning shifts to primaries in Southern states; Vice Pres Gore seems to enjoy commanding advantage over Bill Bradley for now, despite Bradley's pa...","When the Democratic presidential candidates finally withdraw from Iowa and New Hampshire, where the electorate is predominantly white, they will move quickly into Southern states where black voters often play a decisive role."
2000-01-17,Coming Budget Battle Promises To Feature Riches and Rancor,Coming Budget Battle Promises To Feature Riches and Rancor,"Congress and Clinton administration are heading into battle over taxes and spending in 2001 budget, and it is likely to be magnified this year by two factors: projections that surplus is growing significantly larger relative to last year's estimates and the attention focused on fiscal politics by presidential campaign; first skirmishes will likely be over how big a surplus the nation should count on over next decade and the related issue of whether Congress and administration should formally drop spending limits that were adopted a decade ago to help deal with huge budget deficits (M)","Congress and Clinton administration are heading into battle over taxes and spending in 2001 budget, and it is likely to be magnified this year by two factors: projections that surplus is growing significantly larger relative to last year's estimat...","Congress and the Clinton administration are heading into another battle over taxes and spending with a bigger pot of money on the table, no consensus on how to use it and election-year politics complicating the prospects for any compromise."
2000-01-18,Annan Picks Ex-Arms Inspector To Head Iraq Monitoring Panel,Annan Picks Ex-Arms Inspector To Head Iraq Monitoring Panel,"UN Sec Gen Kofi Annan selects Rolf Ekeus, Swedish arms-control expert who found and destroyed large quantities of Iraqi weapons after 1991 Persian Gulf war, to head new commission created to finish job more than year after arms monitoring broke down; action follows failure of Security Council to meet deadline to make nomination and is seen as challenge to Iraq's supporters on council, particularly Russia, China and France, to veto choice; Iraq, longtime critic of Ekeus, ridicules selection; Russia formally registers objection, throwing nomination in doubt; council delegations express concern that Iraq's friends could engage in filibuster on nomination, stalling action on new inspection system and indefinitely postponing any resolution of Iraq crisis (M)","UN Sec Gen Kofi Annan selects Rolf Ekeus, Swedish arms-control expert who found and destroyed large quantities of Iraqi weapons after 1991 Persian Gulf war, to head new commission created to finish job more than year after arms monitoring broke do...","Rolf Ekeus, the Swedish arms-control expert who found and destroyed large quantities of Iraqi weapons after the war in 1991 in the Persian Gulf, was called back today by Secretary General Kofi Annan to lead a new commission created to finish the job more than a year after monitoring broke down."
2000-01-19,MISSILE IS UNABLE TO HIT ITS TARGET IN PENTAGON TEST,MISSILE IS UNABLE TO HIT ITS TARGET IN PENTAGON TEST,Scaled-down 'Star Wars' anti-missile system suffers serious setback as missile fired from Marshall Islands in Pacific fails to hit mock warhead fired from California in critical test of first fully integrated system of radars and sensors intended to guide interceptor to target; Defense Dept will carry out final test in spring to show that system works; Pres Clinton will decide by summer whether to deploy it to shield US from missile attacks by potential adversaries (M),Scaled-down 'Star Wars' anti-missile system suffers serious setback as missile fired from Marshall Islands in Pacific fails to hit mock warhead fired from California in critical test of first fully integrated system of radars and sensors intended ...,"In a serious setback to plans for creating a missile defense system to protect the United States, a missile fired from the Marshall Islands in the Pacific failed to hit a mock warhead fired earlier from a California air base thousands of miles away, the Pentagon announced tonight."
2000-01-20,"25 Years Later, Suspect Is Charged in Murder Case","25 Years Later, Suspect Is Charged in Murder Case","Michael Skakel, nephew of Ethel Kennedy, is charged in 1975 murder of 15-year-old Martha Moxley, who was friend and neighbor in affluent section of Greenwich, Conn; he surrenders to Greenwich police, posts $500,000 bond and is released; 39-year-old defendant is charged as minor since he was 15 at time of killing; prosecutors will file motion to have him tried as adult; his arrest is major breakthrough in murder case that has long confounded local and state authorities and produced several books by journalists and detectives; during years of investigating, Skakel and older brother Thomas emerged as leading suspects; both have denied involvement in crime, in which Moxley was beaten and stabbed with golf club, traced to home of Skakel's mother who died two years earlier; photos (M)","Michael Skakel, nephew of Ethel Kennedy, is charged in 1975 murder of 15-year-old Martha Moxley, who was friend and neighbor in affluent section of Greenwich, Conn; he surrenders to Greenwich police, posts $500,000 bond and is released; 39-year-ol...","Nearly 25 years after 15-year-old Martha Moxley was bludgeoned to death on the lawn of her family home here, the police today charged Michael Skakel, her former friend and neighbor and a nephew of Ethel Kennedy, in the slaying."
2000-01-21,"In Remote Alaska, Counting Begins for the Census","In Remote Alaska, Counting Begins for the Census","Census Bureau officially begins its count for 2000 census, interviewing Intuit Indians in remote Unalakleet, Alaska; bureau will attempt to count population of United States, and find out where every one of estimated 275 million Americans are living on April 1; Constutition calls for a count every 10 years to fix number of House seats for each state, and states use number to draw legislative districts; in addition, billions of dollars in Federal aid will be distributed on basis of how population is counted; photo (L)","Census Bureau officially begins its count for 2000 census, interviewing Intuit Indians in remote Unalakleet, Alaska; bureau will attempt to count population of United States, and find out where every one of estimated 275 million Americans are livi...","Stanton Katchatag, an 82-year-old Inuit, answered a knock on his door here today at 10:50 a.m. and found himself facing Kenneth Prewitt, the director of the Census Bureau. Mr. Katchatag invited him in and offered him a chair."
2000-01-22,"As Thefts Fall, New Yorkers Find Car Where They Left It","As Thefts Fall, New Yorkers Find Car Where They Left It","Auto theft has fallen sharply in New York City, dropping from 1990, when nearly 147,000 cars were reported stolen, to 1999, when 39,000 auto thefts were reported; New Yorkers are still more likely to have cars stolen than residents of most other cities, but better anti-theft devices, police crackdown on chop-shops and more aggressive prosecutions have cut rate by almost 74 percent; Inspector James C Dean and Police Comr Howard Safir explain strategy; highest car theft rates are in Miami, Jersey City, Fresno, Memphis and New York City; top five models stolen in New York in 1998 were Honda Accord, Nissan Maxima, Toyota Camry, Toyota Corolla and Honda Civic; photos; map showing theft rates; graph (M)","Auto theft has fallen sharply in New York City, dropping from 1990, when nearly 147,000 cars were reported stolen, to 1999, when 39,000 auto thefts were reported; New Yorkers are still more likely to have cars stolen than residents of most other c...",It has not been the cars that have been vanishing lately in New York City. It has been the thieves.
2000-01-23,Ecuador Coup Shifts Control To No. 2 Man,Ecuador Coup Shifts Control To No. 2 Man,"Ecuadoran Vice president Gustavo Noboa Bejarno assumes control of government after dissident military officers and Indian groups overthrow elected president Jamil Mahuad; takes office after armed forces chief Gen Carlos Mendoza dissolves three-man junta that briefly led government; Mendoza says move is aimed at preventing international isolation of Ecuador; threats by US and Latin American countries to impose sanctions if constitutional rule was not preserved noted; Noboa becomes sixth chief of state in four years; says he has support of armed forces and national police; Mahuad condemns coup but acknowledges Noboa's authority; coup is Latin America's first overthrow of sitting civilian president in more than decade; comes amid Ecuador's worst economic crisis in more than 70 years; economy contracted by 7.5 percent in 1999, and inflation was more than 80 percent for second consecutive year--worst economic performance in Latin America; country defaulted on half of its $13 billion foreign debt in September 1999; map; photo (M)",Ecuadoran Vice president Gustavo Noboa Bejarno assumes control of government after dissident military officers and Indian groups overthrow elected president Jamil Mahuad; takes office after armed forces chief Gen Carlos Mendoza dissolves three-man...,"After 18 hours of chaos that began when dissident military officers and Indian groups overthrew the elected president of Ecuador, Jamil Mahuad, the country's vice president assumed power early today when a rival military faction intervened on his behalf."
2000-01-24,Subways Trade No. 2 Pencils For 21st-Century Technology,Subways Trade No. 2 Pencils For 21st-Century Technology,"New York City's subway system's antiquated method for recording movement of trains, almost unchanged since subways began rolling in 1904, will undergo revolution over next three years in which tracking technology similar to that used by air traffic controllers will be installed; new $128 million system will replace workers, who basically watch for trains coming into stations and note in writing arrival and departure times; improvements will raise subways to level smaller cousins in Washington, London, San Francisco and Montreal have been at for decades; system in which trains are dispatched, tracked, driven and stopped almost completely by computer will be installed over next 20 to 25 years; is currently in operation only in Paris; photos (M)","New York City's subway system's antiquated method for recording movement of trains, almost unchanged since subways began rolling in 1904, will undergo revolution over next three years in which tracking technology similar to that used by air traffi...",It was a joke that got big laughs around New York City Transit as the end of last year approached: The subways were fully Y2K compliant.
2000-01-25,Iowans Deliver Victory to Bush and Gore,THE 2000 CAMPAIGN: THE OVERVIEW; Iowans Deliver Victory to Bush and Gore,"Republican presidential frontrunner Gov George W Bush and Democratic rival Vice Pres Al Gore are clear victors in Iowa presidential caucuses, with voters for first time affirming their positions as frontrunners for parties' nominations; Gore outpolls former Sen Bill Bradley 63 percent to 35 percent; Bush wins 43 percent of vote, with publisher Steve Forbes finishing strong second with 30 percent; Alan Keyes finishes third with 14 percent, outpacing Gary L Bauer who tallied 9 percent; Sen John S McCain, whose campaign skipped Iowa, wins 5 percent and Sen Orrin Hatch finishes last with 1 percent; Bush basks in 'record-shattering victory;' Gore thanks voters, but concedes he faces stiffer competition in New Hampshire; Bradley concedes loss; congratulates Gore; says he is gearing up for hard-fought battle in New Hampshire; comments by other Republican candidates noted; photos (M)","Republican presidential frontrunner Gov George W Bush and Democratic rival Vice Pres Al Gore are clear victors in Iowa presidential caucuses, with voters for first time affirming their positions as frontrunners for parties' nominations; Gore outpo...",Gov. George W. Bush of Texas and Vice President Al Gore were the clear victors in the Iowa presidential caucuses tonight as voters -- although just a few of them -- for the first time affirmed their positions as front-runners for their parties' nominations.
2000-01-26,FEDERAL SURPLUS SOARS IN FORECAST BY BUDGET OFFICE,FEDERAL SURPLUS SOARS IN FORECAST BY BUDGET OFFICE,"Congressional Budget office predicts that federal budget surplus, driven by strong economy and flood of tax revenues, will surge over next decade to levels that would have been inconceivable few years ago; projects surplus of more than $1.9 trillion outside of Social Security; surplus in Social Security system, which is prjected to turn into deep deficit within twenty years, is estimated at $2.3 trillion over ten years; graph; Clinton administration will issue own surplus predictions in two weeks, in conjunction with Pres Clinton's ambitious tax and spending initiatives; Clinton says he will push to pay off by 2013 entire $3.6 trillion owed by federal government to public in form of Treasury bonds; total national debt of $5.7 trillion includes both public debt and more than $2 trillion owed to Social Security system (M)","Congressional Budget office predicts that federal budget surplus, driven by strong economy and flood of tax revenues, will surge over next decade to levels that would have been inconceivable few years ago; projects surplus of more than $1.9 trilli...","Driven by the strong economy and the resulting flood of tax revenues, the federal budget surplus will surge over the next decade to levels that would have been inconceivable only a few years ago, the Congressional Budget Office said in a report made public today."
2000-01-27,EVIDENCE IS SEEN LINKING BIN LADEN TO ALGERIAN GROUP,EVIDENCE IS SEEN LINKING BIN LADEN TO ALGERIAN GROUP,"US investigators have uncovered what they believe are links between Algerians who have been charged with plotting terrorist attack in US and Osama bin Laden, exiled Saudi accused of bombing two US Embassies in East Africa; authorities in Senegal recently arrested Mohambedou Ould Slahi; US investigators believe that he directed Algerian group in Canada in its efforts to enter US and carry out bomb plot late last year; say Slahi is brother-in-law of one of bin Laden's key lieutenants, but they refuse to identify him; bomb plot was foiled when border agents in Port Angeles, Wash, on Dec 14 arrested Ahmed Ressam, Algerian who was driving car loaded with explosives (M)","US investigators have uncovered what they believe are links between Algerians who have been charged with plotting terrorist attack in US and Osama bin Laden, exiled Saudi accused of bombing two US Embassies in East Africa; authorities in Senegal r...","American investigators have uncovered what they believe are links between Algerians who have been charged with plotting a terrorist attack in the United States and Osama bin Laden, the exiled Saudi accused of bombing two American Embassies in East Africa, law enforcement officials said yesterday."
2000-01-28,Clinton Stakes Claim to U.S. Prosperity,THE STATE OF THE UNION: THE OVERVIEW; Clinton Stakes Claim to U.S. Prosperity,"Pres Clinton, in his State of Union message, declares that state of union has never been better and proposes using some of nation's wealth to provide modest tax relief for lower- and middle-income Americans, particularly married ones; declares nation's economic revolution has been matched by 'revival of the American spirit'; cites declines in crime, teen births, welfare rolls; holds 'state of our union is the strongest it has ever been'; Clinton urges Federal legislation to require state licenses for all handgun purchases; Clinton's speech is so packed with proposals it goes on for 89 minutes, breaking record of marathon, 81-minute speech that Clinton gave in 1995; Clinton also receives more than 100 ovations, far more than he received in his other State of Union speeches; Republicans are taken aback by sheer number of initiatives; Texas Gov George W Bush calls it 'litany of spending'; other reaction noted; photos of Clinton, and of Hillary Rodham Clinton and Chelsea Clinton with Hank Aaron, former baseball great (L)","Pres Clinton, in his State of Union message, declares that state of union has never been better and proposes using some of nation's wealth to provide modest tax relief for lower- and middle-income Americans, particularly married ones; declares nat...","Basking in an annual rite for the last time, President Clinton bragged tonight that the state of the union had never been better and proposed using some of the nation's wealth to provide modest tax relief for lower- and middle-income Americans, particularly married ones."
2000-01-29,Bed Is Latest Weapon in Airline Perk Wars,Bed Is Latest Weapon in Airline Perk Wars,"Airlines are putting beds into their planes' business class sections on trans-Atlantic routes; business travelers, who buy only 20 percent of all tickets but account for about half of industry profits, have said they would rather snooze during long flights than dine on fine wine and caviar; Virgin Atlantic, British Airways and American Airlines lead the way; photo (M)","Airlines are putting beds into their planes' business class sections on trans-Atlantic routes; business travelers, who buy only 20 percent of all tickets but account for about half of industry profits, have said they would rather snooze during lon...","The battle for the premium-fare passenger, in which airlines offer luxury more typical of a cruise ship, has risen to this: One major airline will later this year introduce private cabins equipped with double beds."
2000-01-30,Television's New Voyeurism Pictures Real-Life Intimacy,Television's New Voyeurism Pictures Real-Life Intimacy,Success in United States of British show Who Wants to Be a Millionaire is driving network executives to pursue other inventive European television formats based on real-life experience voyeuristically captured on camera; shows focus on people trying to survive on desert island or on people trying to get along in various settings of forced intimacy; many of shows have ambitious Internet components (M),Success in United States of British show Who Wants to Be a Millionaire is driving network executives to pursue other inventive European television formats based on real-life experience voyeuristically captured on camera; shows focus on people tryi...,"The European invasion began with ''Who Wants to Be a Millionaire,'' which transformed the competitive landscape of network television. Now, just months later, a new wave of formats, all based on real-life experience voyeuristically captured on camera, is coming from abroad."
2000-01-31,"Rams Win Super Bowl Thriller, as Titans Fall a Yard Short","SUPERBOWL XXXIV; Rams Win Super Bowl Thriller, as Titans Fall a Yard Short","St Louis Rams defeat Tennessee Titans, 23-16, in Super Bowl XXXIV in Georgia Dome in Atlanta after Rams quarterback Kurt Warner connects on 73-yard touchdown pass to wide receiver Isaac Bruce with one minute and 54 seconds left in game, breaking 16-16 tie; Titans later fail in bid to tie score, after receiver Kevin Dyson is tackled by linebacker Mike Jones on Rams' one-yard line as time runs out; Warner throws for record 414 yards, breaking Joe Montana's mark of 357 in Super Bowl XXIII against Cincinnati in 1989; is voted game's most valuable player; Rams receiver Torry Holt sets Super Bowl record with 109 reception yards for rookie; Titans quarterback Steve McNair, only second black quarterback to play in Super Bowl, completes 22 of 36 attempts for 214 yards and sets record for rushing yards by quarterback with 64; photos (M)","St Louis Rams defeat Tennessee Titans, 23-16, in Super Bowl XXXIV in Georgia Dome in Atlanta after Rams quarterback Kurt Warner connects on 73-yard touchdown pass to wide receiver Isaac Bruce with one minute and 54 seconds left in game, breaking 1...","It was a fitting end for this St. Louis Rams team of castoffs. The quarterback, Kurt Warner, was bagging groceries at one point at a store in Cedar Falls, Iowa. The wide receiver, Isaac Bruce, was once labeled as a player whose injured hamstrings made the news more than his touchdown catches. The coach, Dick Vermeil, succumbed to what he called burnout, leaving the profession for almost two decades."
2000-02-01,"C.I.A. Inquiry of Its Ex-Director Was Stalled at Top, Report Says","C.I.A. Inquiry of Its Ex-Director Was Stalled at Top, Report Says","Classified report by CIA inspector general says top officials of agency impeded internal investigation into evidence that former director John M Deutch mishandled large volumes of secret data; describes series of actions by agency's former executive director and general counsel that delayed prompt and thorough investigation of matter; says current director George J Tenet, Deutch's top deputy, should have done more to forcefully ensure that case was properly investigated; agency, at inspector general's recommendation, sets up special panel to examine whether Tenet and other top officials handled case appropriately; investigation of Deutch began in December 1996 shortly before he left office following discovery that he had placed large volumes of classified material on personal computers in his home, including information about some of most sensitive covert operations, in potential violation of agency rules and federal law (M)",Classified report by CIA inspector general says top officials of agency impeded internal investigation into evidence that former director John M Deutch mishandled large volumes of secret data; describes series of actions by agency's former executi...,"Top officials of the Central Intelligence Agency impeded an internal investigation into evidence that the agency's former director, John M. Deutch, mishandled large volumes of secret material, a classified report by the agency's inspector general concludes."
